PLAYER;OPERATION;RESULT
0;IN from http://sofifa.com/player/145654-michael-carrick?hl=en-GB&units=mks;OK
1;IN from http://sofifa.com/player/147096-ashley-young?hl=en-GB&units=mks;OK
2;IN from http://sofifa.com/player/148593-ander-herrera-aguera?hl=en-GB&units=mks;OK
3;IN from http://sofifa.com/player/150675-paddy-mcnair?hl=en-GB&units=mks;OK
4;IN from http://sofifa.com/player/148003-jonny-evans?hl=en-GB&units=mks;OK
5;IN from http://sofifa.com/player/148922-rafael-pereira-da-silva?hl=en-GB&units=mks;OK
6;IN from http://sofifa.com/player/150924-andreas-pereira?hl=en-GB&units=mks;OK
7;IN from http://sofifa.com/player/147312-radamel-falcao-garcia-zarate?hl=en-GB&units=mks;OK
8;IN from http://sofifa.com/player/146644-anders-lindegaard?hl=en-GB&units=mks;OK
9;IN from http://sofifa.com/player/145824-victor-valdes-arribas?hl=en-GB&units=mks;OK
10;IN from http://sofifa.com/player/147328-ignacio-monreal-eraso?hl=en-GB&units=mks;OK
11;IN from http://sofifa.com/player/150636-hector-bellerin-moruno?hl=en-GB&units=mks;OK
12;IN from http://sofifa.com/player/149230-francis-coquelin?hl=en-GB&units=mks;OK
13;IN from http://sofifa.com/player/149058-gabriel-armando-de-abreu?hl=en-GB&units=mks;OK
14;IN from http://sofifa.com/player/150578-calum-chambers?hl=en-GB&units=mks;OK
15;IN from http://sofifa.com/player/148636-kieran-gibbs?hl=en-GB&units=mks;OK
16;IN from http://sofifa.com/player/145895-mikel-arteta-amatriain?hl=en-GB&units=mks;OK
17;IN from http://sofifa.com/player/146607-mathieu-flamini?hl=en-GB&units=mks;OK
18;IN from http://sofifa.com/player/148442-theo-walcott?hl=en-GB&units=mks;OK
19;IN from http://sofifa.com/player/145421-john-terry?hl=en-GB&units=mks;OK
20;IN from http://sofifa.com/player/150493-kurt-zouma?hl=en-GB&units=mks;OK
21;IN from http://sofifa.com/player/147127-filipe-luis-kasmirski?hl=en-GB&units=mks;OK
22;IN from http://sofifa.com/player/149626-philippe-coutinho-correia?hl=en-GB&units=mks;OK
23;IN from http://sofifa.com/player/150946-ruben-loftus-cheek?hl=en-GB&units=mks;OK
24;IN from http://sofifa.com/player/151237-kasey-palmer?hl=en-GB&units=mks;OK
25;IN from http://sofifa.com/player/151296-isaiah-brown?hl=en-GB&units=mks;OK
26;IN from http://sofifa.com/player/151546-dominic-solanke?hl=en-GB&units=mks;OK
27;IN from http://sofifa.com/player/144419-didier-drogba?hl=en-GB&units=mks;OK
28;IN from http://sofifa.com/player/150205-emre-can?hl=en-GB&units=mks;OK
29;IN from http://sofifa.com/player/149649-alberto-moreno-perez?hl=en-GB&units=mks;OK
30;IN from http://sofifa.com/player/150318-javier-manquillo-gaitan?hl=en-GB&units=mks;OK
31;IN from http://sofifa.com/player/147294-jose-enrique-sanchez-diaz?hl=en-GB&units=mks;OK
32;IN from http://sofifa.com/player/147645-lucas-pezzini-leiva?hl=en-GB&units=mks;OK
33;IN from http://sofifa.com/player/151053-cameron-brannagan?hl=en-GB&units=mks;OK
34;IN from http://sofifa.com/player/148956-mario-balotelli?hl=en-GB&units=mks;OK
35;IN from http://sofifa.com/player/149179-fabio-borini?hl=en-GB&units=mks;OK
36;IN from http://sofifa.com/player/145857-rickie-lambert?hl=en-GB&units=mks;OK
37;IN from http://sofifa.com/player/147113-gael-clichy?hl=en-GB&units=mks;OK
38;IN from http://sofifa.com/player/149064-dedryck-boyata?hl=en-GB&units=mks;OK
39;IN from http://sofifa.com/player/146791-joao-miranda-de-souza-filho?hl=en-GB&units=mks;OK
40;IN from http://sofifa.com/player/147842-fernando-reges?hl=en-GB&units=mks;OK
41;IN from http://sofifa.com/player/147813-samir-nasri?hl=en-GB&units=mks;OK
42;IN from http://sofifa.com/player/147231-jesus-navas-gonzalez?hl=en-GB&units=mks;OK
43;IN from http://sofifa.com/player/150998-jose-angel-pozo-la-rosa?hl=en-GB&units=mks;OK
44;IN from http://sofifa.com/player/148673-stevan-jovetic?hl=en-GB&units=mks;OK
45;IN from http://sofifa.com/player/145716-willy-caballero?hl=en-GB&units=mks;OK
46;IN from http://sofifa.com/player/148915-danny-rose?hl=en-GB&units=mks;OK
47;IN from http://sofifa.com/player/147712-federico-fazio?hl=en-GB&units=mks;OK
48;IN from http://sofifa.com/player/150208-eric-dier?hl=en-GB&units=mks;OK
49;IN from http://sofifa.com/player/149261-ryan-mason?hl=en-GB&units=mks;OK
50;IN from http://sofifa.com/player/150037-harry-kane?hl=en-GB&units=mks;OK
51;IN from http://sofifa.com/player/148880-kyle-walker?hl=en-GB&units=mks;OK
52;IN from http://sofifa.com/player/148957-benjamin-stambouli?hl=en-GB&units=mks;OK
53;IN from http://sofifa.com/player/148194-etienne-capoue?hl=en-GB&units=mks;OK
